id,ai,am_nhac,an_ninh_mang,app,bac_si,bai_hat,bau_cu,benh_vien,bien_chung,blockchain,bo_truong,bong_da,bong_ro,ca_si,cau_thu,cham_soc,chinh_phu,chinh_sach,chu_tich,chuong_trinh,co_phieu,concert,cong_dong,cong_nghe,dai_bieu,dai_hoc,dang,dao_dien,dao_tao,dau_tu,dich_benh,diem_chuan,dien_thoai,dien_vien,dinh_duong,doanh_nghiep,doi_tuyen,du_lieu,gameshow,gdp,gia_vang,giai_dau,giao_duc,giao_vien,ha_noi,hiep_dinh,hlv,hoat_dong,hoc_bong,hoc_phi,hoc_sinh,hoc_tap,hoi_nghi,huy_chuong,idol,internet,khong_khi,khung_hoang,kinh_doanh,lai_suat,lam_phat,lanh_dao,liveshow,luat,mang_5g,may_tinh,mon_hoc,mv,nam_hoc,ngan_hang,nghe_si,nghi_quyet,ngoai_giao,nguoi_dan,nhap_khau,nhiem,olympic,phan_mem,phat_trien,phau_thuat,phim,quoc_hoi,quoc_te,robot,san_khau,startup,suc_khoe,tang_truong,tennis,thanh_nien,the_thao,the_van_hoi,thi,thi_truong,thiet_bi,thong_minh,thong_tin,thu_hut,thu_khoa,thu_tuong,thuc_hien,thuoc,thuong_mai,tiem_chung,tot_nghiep,tphcm,tran_dau,trien_khai,truong_hoc,truyen_hinh,ung_thu,v_league,vaccine,van_de,viet_nam,vo_dich,world_cup,xa_hoi,xuat_khau,y_te,doc_length,category
263,2.0,10.0,3.0,2.0,3.0,4.0,0.0,0.0,0.0,,0.0,0.0,3.0,2.0,2.0,0.0,0.0,2.0,3.0,2.0,5.0,8.0,5.0,6.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,9.0,,0.0,0.0,4.0,0.0,0.0,12.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,10.0,5.0,2.0,0.0,0.0,8.0,0.0,4.0,0.0,5.0,,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,5.0,8.0,4.0,2.0,0.0,8.0,2.0,3.0,3.0,3.0,8.0,0.0,8.0,2.0,3.0,0.0,0.0,,3.0,9.0,,0.0,5.0,5.0,0.0,281,Technology
264,14.0,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,3.0,0.0,2.0,0.0,,0.0,9.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,,1.0,6.0,2.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,13.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,8.0,,0.0,0.0,4.0,3.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,171,Health
265,2.0,3.0,0.0,2.0,,0.0,0.0,4.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,2.0,0.0,13.0,0.0,0.0,10.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,12.0,,,0.0,0.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,0.0,7.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,183,Education
266,2.0,0.0,0.0,3.0,14.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,4.0,0.0,6.0,0.0,5.0,0.0,0.0,3.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,9.0,3.0,0.0,9.0,0.0,0.0,0.0,10.0,5.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,1.0,3.0,0.0,8.0,0.0,10.0,0.0,0.0,,5.0,8.0,5.0,3.0,4.0,3.0,10.0,,14.0,231,Health
267,0.0,1.0,0.0,0.0,13.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,13.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,141,Health
268,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,,2.0,0.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,5.0,0.0,0.0,3.0,,0.0,1.0,,1.0,8.0,0.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,,,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,181,Health
269,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,2.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,,0.0,,1.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,6.0,11.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,10.0,0.0,14.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,8.0,8.0,8.0,11.0,,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,,1.0,0.0,9.0,0.0,1.0,0.0,,0.0,0.0,213,Technology
270,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,13.0,1.0,0.0,,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,14.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,7.0,1.0,,12.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,,0.0,0.0,10.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,10.0,1.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,3.0,0.0,0.0,6.0,0.0,4.0,2.0,6.0,0.0,10.0,0.0,0.0,194,Sports
271,2.0,15.0,0.0,0.0,3.0,8.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,4.0,0.0,10.0,0.0,1.0,5.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,12.0,2.0,0.0,7.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,9.0,0.0,2.0,5.0,0.0,0.0,,0.0,0.0,0.0,14.0,0.0,0.0,0.0,6.0,0.0,,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,9.0,0.0,,0.0,0.0,0.0,0.0,1.0,8.0,0.0,7.0,0.0,2.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,5.0,238,Entertainment
272,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,15.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,1.0,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,12.0,0.0,10.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,7.0,0.0,0.0,0.0,0.0,8.0,,2.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,157,Politics
273,3.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,8.0,5.0,3.0,0.0,0.0,0.0,0.0,10.0,3.0,11.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,1.0,0.0,7.0,,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,175,Politics
274,2.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,3.0,3.0,4.0,0.0,0.0,0.0,3.0,2.0,0.0,8.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,3.0,2.0,0.0,2.0,0.0,4.0,,1.0,6.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,3.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,0.0,,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,,168,Education
275,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,4.0,,0.0,0.0,1.0,0.0,0.0,1.0,3.0,10.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,6.0,0.0,,0.0,1.0,3.0,,0.0,0.0,0.0,2.0,0.0,1.0,,0.0,11.0,11.0,0.0,0.0,,0.0,1.0,3.0,7.0,1.0,2.0,0.0,3.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,181,Business
276,0.0,0.0,2.0,0.0,8.0,0.0,8.0,3.0,5.0,0.0,4.0,2.0,0.0,0.0,3.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,,8.0,0.0,7.0,0.0,4.0,0.0,8.0,1.0,0.0,0.0,6.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,9.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,,,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,2.0,0.0,0.0,,5.0,0.0,0.0,3.0,1.0,3.0,5.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,8.0,,0.0,,1.0,3.0,0.0,2.0,0.0,0.0,9.0,4.0,11.0,5.0,4.0,0.0,,1.0,0.0,,280,Health
277,3.0,5.0,0.0,0.0,3.0,,11.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,5.0,8.0,13.0,,0.0,,,0.0,,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,12.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,13.0,3.0,7.0,0.0,0.0,3.0,0.0,5.0,0.0,5.0,6.0,0.0,2.0,8.0,0.0,0.0,0.0,5.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,10.0,1.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,0.0,10.0,0.0,3.0,0.0,7.0,0.0,4.0,0.0,10.0,0.0,0.0,284,Politics
278,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,6.0,0.0,2.0,1.0,0.0,,0.0,0.0,2.0,0.0,0.0,,1.0,1.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,2.0,0.0,9.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0,7.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,5.0,0.0,,0.0,,3.0,2.0,0.0,7.0,4.0,0.0,0.0,3.0,4.0,0.0,3.0,219,Business
279,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,15.0,8.0,0.0,0.0,0.0,,13.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,,0.0,10.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,2.0,0.0,13.0,,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,1.0,,0.0,,0.0,0.0,5.0,0.0,0.0,0.0,,0.0,0.0,,9.0,0.0,0.0,0.0,4.0,0.0,0.0,187,Entertainment
280,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,2.0,0.0,7.0,3.0,2.0,0.0,0.0,0.0,4.0,14.0,3.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,8.0,0.0,0.0,,0.0,0.0,10.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,182,Politics
281,0.0,3.0,1.0,1.0,9.0,0.0,0.0,6.0,10.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,,1.0,3.0,,3.0,6.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,5.0,0.0,2.0,1.0,2.0,1.0,0.0,,1.0,0.0,0.0,0.0,,4.0,3.0,0.0,10.0,166,Health
282,0.0,0.0,3.0,6.0,0.0,0.0,11.0,0.0,0.0,13.0,5.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,9.0,,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,10.0,0.0,12.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,0.0,0.0,191,Business
283,2.0,0.0,3.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,,0.0,0.0,0.0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,8.0,0.0,8.0,0.0,,12.0,0.0,5.0,0.0,1.0,0.0,0.0,4.0,0.0,7.0,151,Health
284,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,4.0,2.0,0.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,,,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,,0.0,,0.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,,0.0,,0.0,2.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,3.0,0.0,,0.0,0.0,,0.0,6.0,0.0,7.0,3.0,0.0,141,Sports
285,0.0,0.0,0.0,1.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,0.0,2.0,0.0,9.0,1.0,2.0,0.0,,2.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,15.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,12.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,10.0,0.0,0.0,1.0,2.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,15.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,4.0,5.0,8.0,4.0,3.0,4.0,11.0,0.0,3.0,0.0,0.0,6.0,9.0,0.0,2.0,,0.0,0.0,259,Education
286,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,0.0,11.0,0.0,6.0,0.0,4.0,0.0,0.0,,1.0,5.0,7.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,12.0,5.0,0.0,9.0,0.0,3.0,,0.0,,3.0,3.0,0.0,0.0,3.0,2.0,0.0,6.0,3.0,1.0,0.0,5.0,9.0,2.0,0.0,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,10.0,3.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,7.0,9.0,3.0,0.0,0.0,,0.0,4.0,236,Health
287,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,7.0,7.0,6.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,12.0,0.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,3.0,0.0,154,Technology
288,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,,0.0,,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,9.0,0.0,7.0,0.0,6.0,0.0,4.0,9.0,2.0,0.0,8.0,1.0,0.0,,1.0,0.0,0.0,0.0,4.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,,8.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,,0.0,0.0,7.0,14.0,0.0,202,Business
289,0.0,0.0,,0.0,,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,6.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,5.0,0.0,0.0,4.0,0.0,9.0,0.0,0.0,1.0,,2.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,7.0,5.0,0.0,0.0,,8.0,1.0,0.0,0.0,8.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,,3.0,0.0,3.0,0.0,,10.0,2.0,3.0,0.0,0.0,1.0,,171,Education
290,0.0,0.0,0.0,,3.0,0.0,0.0,2.0,,0.0,0.0,3.0,1.0,,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,86,Health
